"voter","count"
"osmo10e42fc8a3zkelp6pf22kc0x94rukx5c5vzs64r",1
"osmo10epzl04lu4tnpvjzhledr26rl4zq9rgsv4u7n5",4
"osmo10ev2mztepxv0vhe5v8yn5nnj9k9n0vg2fprpg0",2
"osmo10ey9natzdkk27wjuy8ajnnu7qzeds66muyrd8g",1
"osmo10fjsqjdwlu75yfns2twym7lch2tmzlc6703vr4",1
"osmo10fq6gzhgfsklu8d2eveea8uuusl3ms6caghg72",3
"osmo10g3hzsme335q8r2g3p4y3x7s2pv587fwmpmsk7",1
"osmo10ga3jr3uyg5a8vwestwrj3a4728tgexyg7ll5d",4
"osmo10geas4yl69vsfxjvmknpene75gzm77hk086nqm",3
"osmo10gj5mnkq4ljpkkrrxh9f7m58un772adwzk4985",3
"osmo10gj89ywz86vwzjtpu9k64ug22q80vl7x74a3n8",1
"osmo10gjtz74hz73ew6j8nk3zx22xt5wz5lv0vqapsx",4
"osmo10gk4v3lt3643jd7e2msdvjudpfurdeg78wucz3",4
"osmo10gvfcd4l577f5x0qvmlexwg5q6xge4dk89x0x3",4
"osmo10gvgsutdqd7lxwzsjm2g3uz4e3stduxrlp6gk3",2
"osmo10gwwfj39ewa853032k5cwmvwkw22wmeta30fe6",4
"osmo10gxzy3hfwkhzzuhvfpmm7k2ktcqcuqkyg8xkk5",2
"osmo10h2he8xrlkte35kwysvaj9jjq8gr5t58872gk0",1
"osmo10h4m7ju6lckyxv84dghqz4h6nfcxmtf8v6c64y",1
"osmo10h8qcursghmc94h3fgm0edyjrptupuzgrky6kd",4
"osmo10haed6n5nwfcwyj6f3mrgdhgl68quh2rkhtrr0",1
"osmo10hah67ngcnpthefr9pgtvyeh4cgp8dq3k0yh48",1
"osmo10hcnhrh2lka0svrpt686xumay28t8y69fquh4q",3
"osmo10hda0pn95xtzp3rvnda275hey39txw3tcpfe5w",2
"osmo10hdd0hz54lcpxs6gl8nftp42ftjd4t2w6ufsf5",1
"osmo10hfp70p9nucq7grtmasskyut7qt9ezp0645h02",4
"osmo10hjmpy2zf23kqedwfs9rv4qxadk024fctj27c0",1
"osmo10hjnepwdgfrlxpqcnsf782re9ra7dmrss2rqn5",2
"osmo10hqp7hx8nnx6zg8w3np643hu93kgspum0p64um",4
"osmo10hsqse4xer6qudldw4n60v8zxlraktzv7d3hr4",3
"osmo10hwsp2dm2kzuv0v24y3hey5mxmgyaeqdth2t9c",2
"osmo10j4f9rlk7ytt9xznhr76zzzfj6g7ckpp7fe894",4
"osmo10j729nllgmx366gjf5wxmqdh0xxqnm6cyc3zjc",4
"osmo10jcd94dw9w2txv3f8xgd3cslz5s3cqu0zv0l0l",2
"osmo10jmu5y6s2npx4zv4ye6r8w0j4mx69gjzqw52mk",2
"osmo10jtgzsn642rl63asluk8nzyqgp57afv4g9jl3g",1
"osmo10jvwfyv02ct5cne3j8qkdz6j3p99t4jcaxy3wk",3
"osmo10jy3m6dxkh609k28y3nsave8r3z2nwzhdrxrcq",4
"osmo10k9w6vffw47vq3zzze9gx3h4zkfle3dqkzmf08",1
"osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj",4
"osmo10kccu43rr34y6lpcg435nnm42pczu9my8r9jl9",2
"osmo10kfuu9tetmu75v9mgpqlzq0rpexmk5kjk4dzaa",1
"osmo10kfzk3ufpxxakw5yw2x628cl35z0t9k0jy0u8w",2
"osmo10khu8xvrl4stw3ghg30938wm4jycc4qxvz4vgp",1
"osmo10kl3jnk7hma49a4xdq2jvmlyqu768jztsdmtnv",2
