"address","amount"
"osmo10lnxkvncgdxqv8z8aee9pvyf9h8ddcml7wx9jt",203785887
"osmo10lplg660zhrf5wt00luw4wrj7x5rnrzgnlz6xu",135857258
"osmo10m4he0exsjjaaju7s7sm5w8ekuj3anr5myg8l9",67928629
"osmo10m6c487x7yt87uyrn94tpkeng3ulqpvdtq2azy",67928629
"osmo10m9x6v99eem0zxz80xhrmth47lwfac29mwayha",67928629
"osmo10mnkgu3lj8j8hkwhlyg073a2n2g4hazryud6zn",203785887
"osmo10n0sj8mgkyd7y26ms555eqcazhm7tgee3em04v",67928629
"osmo10n49twa20ahnsv8jaammqunn544e9vrlkeecnt",67928629
"osmo10n58ghv7nyl8eq6vlgmmuwfr8uay8my0hrkca4",271714516
"osmo10n7pmh22h7jhtrsctsymeyunudkqer0y8dyxg6",203785887
"osmo10njskfe93gszekjwzuf0wx8u2mvmxa4y3ekhpt",271714516
"osmo10nq30e9f42yev6xj0akw849n0cdlgrrgwjzz95",67928629
"osmo10nszvpnn83hq9lmlhs73p8mfx0wgwnz9ukp885",271714516
"osmo10ny6htawnwkzvjl74499dgfpeqt3d06a25n3vq",67928629
"osmo10p4rnezpx8c84v8n7eysse0vw55xshs2c4r8hv",271714516
"osmo10p5jd6yz2twvvzg5c7gq2l6v6u42vthc9qxh3f",67928629
"osmo10pgyjw9fln6fd2xpekj04f83pml4er90x0tms0",67928629
"osmo10pj7eg95trl8rup0c95qshnda7qvetrtgf7jdh",67928629
"osmo10pq85n3pmchckf87luh5drh9v2yf44fl8hgzt4",203785887
"osmo10pxq209k7cyr8gp4yf8486n2fusj5am0uqh3l7",67928629
"osmo10q22sa2zqndgyag8klz95gm5v0v5n748rcp6q8",135857258
"osmo10q82tytk4vnhmlxcf3wwd2zf87jph86h5pf6s6",67928629
"osmo10qdvc48ng2ps4efghmfjft97r8duz9jnnv4k04",67928629
"osmo10qey6aqjf5wlkglp0ljjg3v6h8ws26pmpgnmw0",135857258
"osmo10qf7p3xvjpphv3eyvf92mg2lgtgz88sz8kd2u6",203785887
"osmo10ql3rwuxsa0h5y5u5jrv7570e0k558273xkvvt",67928629
"osmo10qsrwygnwrwfnz5npmvjd3namy4dadgk2yz6sn",271714516
"osmo10qwykvdg0jcvavp9c95hc6rmv26a07gje4qgs6",67928629
"osmo10qxgsk2zzd6tyn85wqr5k4c3gnp5a9wk7rxww3",135857258
"osmo10qyjx22fdjtcxdx8upzzd3n7d9cs3kwlazp97z",67928629
"osmo10qymecrjmsctxs0jgf9jr3d2fxltyctkrfyjj3",67928629
"osmo10r39fueph9fq7a6lgswu4zdsg8t3gxlqyhl56p",271714516
"osmo10r7ykd02zs2exhwfkjn9nj05r04e6t30vktrhk",135857258
"osmo10r92uvhfgsx2t2vpaxv00yrqtjnmp59rc3gn94",271714516
"osmo10r9c6fcdttna36vrdu0m6nxt28u0evrcvpxjv5",271714516
