address,amount
osmo105qeucljvgkgf4vqc0nsksaflg3y7n3d0xsrs0,101000000
osmo105qs2apz7jq7remt6jqgqdlks2mprj2tu9zhy6,168309212
osmo105rf9sxvzqrf8sce5rktffgd2t960uy0rpwxza,111000000
osmo105rhx8va67qh0gnfle3avmctsnr7rlrjvjfjwx,54000000
osmo105skwzet9nylwg7rpasq7sjhx27yqsqcxcmrz7,65879459
osmo105sy805a7qwtyrkk9t48qfjpdcg4qjmv5s4mj5,203000000
osmo105ukf2c7ud29n0ryrwfd28rg6yya0u90l9jjpf,82498834
osmo105vv7nmg6dmnwsxgucywjsm2qa66v2xgz9dd28,107654547
osmo105x4d63rvlg7uu6g9t3qaj9kggpsvs8wt5x37w,50020485
osmo105xra0sm2uenzk9lgc239enwj6yq6uvjwl0hgj,66369206
osmo105y9hagvvlxyu4xr7kh9cfjc7y0ttn5yfzra4z,74000000
osmo105ytzzer2c6h63tfy9cu8x6sajclzzaxhfj3xp,101000000
osmo105zfeugf9n39gk2xnunknqzdqyxlarh74pc8s3,90012333
osmo1060t4vlql9ngh4jj4h67nsyu4lmljyd8pesy5q,100000000
osmo1062jl2f4l4np3dd5kp4v492hfmtam7c9zczt8f,1126867792
osmo1062kn77c2y77c28vj2628v2ry7py6dw0u7sz7s,86366653
osmo1062t8auvepdh7wumke0u68hfwmc5qdgja5psly,58000000
osmo1063vcpxqdv4f5wnsjauw6qtrcvfmv8jdvkhvj2,63042682
osmo106440ejjdr26gumxqe3cpecp6uxwfunnuw64jk,220457644
osmo106669zj76culn5fw6qqqgsxl04jjam7pq5qsg7,455545843
osmo1066aprw584yncwdadhqay9ptler9yjny2na6ye,60259941
osmo1068jfs4mhwwtscyxzcgcgugs2qqfm453frr7ys,100000000
osmo1068uqzym5exvl2tr0dz8w45pxgpcu7jnl49p4n,278678266
osmo1068zepvylwwf5jl66852z4h0dvyjvx4smkd6t3,1080272427
osmo106a5lkwa25l9n5nvw2sma7ue7zyr0h24dncad0,104619310
osmo106a5qyhfacqv8dxpu8juw4069fuaztruacl2ak,3895563405
osmo106c64t9shwx729nn7pzxnt84v2522406ct6zu7,180198239
osmo106curt0gkanxn0v095dczlfu8etza5xham53hr,84749468
osmo106gs8fk6v789jqzcur2v9294cnw68wz93gtt2a,51020738
osmo106h5juhmegsnr4sr5ukpg23ha3z7m4z6rmy8u2,101253036
osmo106j0glx8xwr0wdv4n5hlgl2ldt2ucpjf0388sr,240000000
osmo106kscqhpfujxdhykrxh5z3h6fhlugjl33et20p,106942414
osmo106mshf5nce6uzs4j0eurnsycs4jje5nt8dymr7,115000000
osmo106mzm4qv5z0kxkg0km6grezlagw6h5g4fg30ye,2000000000
osmo106n7vfsz208c064um3cxcrypwrjplufynlnexq,175000000
